age,sex,geo,TIME_PERIOD,OBS_VALUE
TOTAL,F,AD,1986,20898.0
TOTAL,F,AD,1987,22148.0
TOTAL,F,AD,1988,22814.0
TOTAL,F,AD,1989,23813.0
TOTAL,F,AD,1990,24171.0
TOTAL,F,AD,1991,25542.0
TOTAL,F,AD,1992,27572.0
TOTAL,F,AD,1993,28864.0
TOTAL,F,AD,1994,30406.0
TOTAL,F,AD,1995,30228.0
TOTAL,F,AD,1996,30200.0
TOTAL,F,AD,1997,30627.0
TOTAL,F,AD,1998,31025.0
TOTAL,F,AD,1999,31384.0
TOTAL,F,AD,2000,31538.0
TOTAL,F,AD,2001,31576.0
TOTAL,F,AD,2002,31915.0
TOTAL,F,AD,2003,32354.0
TOTAL,F,AD,2004,34738.0
TOTAL,F,AD,2005,36790.0
TOTAL,F,AD,2006,37575.0
TOTAL,F,AD,2007,38705.0
TOTAL,F,AD,2008,39622.0
TOTAL,F,AD,2009,40303.0
TOTAL,F,AD,2010,40296.0
TOTAL,F,AD,2011,38252.0
TOTAL,F,AD,2012,38252.0
TOTAL,F,AD,2013,37408.0
TOTAL,F,AD,2019,37388.0
TOTAL,F,AL,2000,1526762.0
TOTAL,F,AL,2001,1535822.0
TOTAL,F,AL,2002,1532563.0
TOTAL,F,AL,2003,1526180.0
TOTAL,F,AL,2004,1520481.0
TOTAL,F,AL,2005,1512745.0
TOTAL,F,AL,2006,1503969.0
TOTAL,F,AL,2007,1492439.0
TOTAL,F,AL,2008,1480358.0
TOTAL,F,AL,2009,1468935.0
TOTAL,F,AL,2010,1459025.0
TOTAL,F,AL,2011,1451691.0
TOTAL,F,AL,2012,1444234.0
TOTAL,F,AL,2013,1437193.0
TOTAL,F,AL,2014,1430827.0
TOTAL,F,AL,2015,1424597.0
TOTAL,F,AL,2016,1417141.0
TOTAL,F,AL,2017,1423050.0
TOTAL,F,AL,2018,1431715.0
TOTAL,F,AL,2019,1432833.0
TOTAL,F,AL,2020,1425342.0
TOTAL,F,AL,2021,1419759.0
TOTAL,F,AL,2022,1406532.0
TOTAL,F,AL,2023,1394864.0
TOTAL,F,AM,2000,1681200.0
TOTAL,F,AM,2001,1672200.0
TOTAL,F,AM,2002,1670500.0
TOTAL,F,AM,2003,1666700.0
TOTAL,F,AM,2004,1665500.0
TOTAL,F,AM,2005,1665200.0
TOTAL,F,AM,2006,1665123.0
TOTAL,F,AM,2007,1665554.0
TOTAL,F,AM,2008,1667529.0
TOTAL,F,AM,2009,1669711.0
TOTAL,F,AM,2010,1673656.0
TOTAL,F,AM,2011,1679066.0
TOTAL,F,AM,2012,1684000.0
TOTAL,F,AM,2015,1571450.0
TOTAL,F,AM,2016,1569535.0
TOTAL,F,AM,2017,1567380.0
TOTAL,F,AM,2018,1564533.0
TOTAL,F,AM,2019,1563538.0
TOTAL,F,AM,2020,1562689.0
TOTAL,F,AM,2021,1565144.0
TOTAL,F,AM,2023,1571757.0
TOTAL,F,AT,1960,3757167.0
TOTAL,F,AT,1961,3773097.0
TOTAL,F,AT,1962,3794130.0
TOTAL,F,AT,1963,3814191.0
TOTAL,F,AT,1964,3836415.0
TOTAL,F,AT,1965,3857760.0
TOTAL,F,AT,1966,3876559.0
TOTAL,F,AT,1967,3899799.0
TOTAL,F,AT,1968,3922359.0
TOTAL,F,AT,1969,3932691.0
TOTAL,F,AT,1970,3944298.0
TOTAL,F,AT,1971,3953827.0
TOTAL,F,AT,1972,3972070.0
TOTAL,F,AT,1973,3990665.0
TOTAL,F,AT,1974,4006377.0
TOTAL,F,AT,1975,4003303.0
TOTAL,F,AT,1976,3992886.0
TOTAL,F,AT,1977,3992437.0
TOTAL,F,AT,1978,3994255.0
TOTAL,F,AT,1979,3985363.0
TOTAL,F,AT,1980,3981359.0
TOTAL,F,AT,1981,3983154.0
TOTAL,F,AT,1982,3993808.0
TOTAL,F,AT,1983,3981596.0
TOTAL,F,AT,1984,3976213.0
TOTAL,F,AT,1985,3975117.0
TOTAL,F,AT,1986,3972356.0
TOTAL,F,AT,1987,3970653.0
TOTAL,F,AT,1988,3967609.0
TOTAL,F,AT,1989,3971179.0
TOTAL,F,AT,1990,3989903.0
TOTAL,F,AT,1991,4014682.0
TOTAL,F,AT,1992,4052348.0
TOTAL,F,AT,1993,4089274.0
TOTAL,F,AT,1994,4107857.0
TOTAL,F,AT,1995,4112289.0
TOTAL,F,AT,1996,4116117.0
TOTAL,F,AT,1997,4120947.0
TOTAL,F,AT,1998,4122811.0
TOTAL,F,AT,1999,4126432.0
TOTAL,F,AT,2000,4133855.0
TOTAL,F,AT,2001,4139842.0
TOTAL,F,AT,2002,4156906.0
TOTAL,F,AT,2003,4170674.0
TOTAL,F,AT,2004,4189973.0
TOTAL,F,AT,2005,4216493.0
TOTAL,F,AT,2006,4239954.0
TOTAL,F,AT,2007,4252922.0
TOTAL,F,AT,2008,4265500.0
TOTAL,F,AT,2009,4278068.0
TOTAL,F,AT,2010,4285442.0
TOTAL,F,AT,2011,4296293.0
TOTAL,F,AT,2012,4309977.0
TOTAL,F,AT,2013,4328238.0
TOTAL,F,AT,2014,4352447.0
TOTAL,F,AT,2015,4384529.0
TOTAL,F,AT,2016,4427918.0
TOTAL,F,AT,2017,4460424.0
TOTAL,F,AT,2018,4483749.0
TOTAL,F,AT,2019,4501742.0
TOTAL,F,AT,2020,4522292.0
TOTAL,F,AT,2021,4535712.0
TOTAL,F,AT,2022,4553444.0
TOTAL,F,AT,2023,4619957.0
TOTAL,F,AZ,2000,4097900.0
TOTAL,F,AZ,2001,4126500.0
TOTAL,F,AZ,2002,4152600.0
TOTAL,F,AZ,2003,4179500.0
TOTAL,F,AZ,2004,4207200.0
TOTAL,F,AZ,2005,4243600.0
TOTAL,F,AZ,2006,4284200.0
TOTAL,F,AZ,2007,4327700.0
TOTAL,F,AZ,2008,4371800.0
TOTAL,F,AZ,2009,4538600.0
TOTAL,F,AZ,2010,4542083.0
TOTAL,F,AZ,2011,4594023.0
TOTAL,F,AZ,2012,4651601.0
TOTAL,F,AZ,2013,4707690.0
TOTAL,F,AZ,2014,4763571.0
TOTAL,F,AZ,2015,4817181.0
TOTAL,F,AZ,2016,4870002.0
TOTAL,F,AZ,2017,4918771.0
TOTAL,F,AZ,2018,4960058.0
TOTAL,F,AZ,2019,4999053.0
TOTAL,F,AZ,2020,5039100.0
TOTAL,F,AZ,2021,5065288.0
TOTAL,F,AZ,2022,5081846.0
TOTAL,F,AZ,2023,5087516.0
TOTAL,F,BA,1997,1922585.0
TOTAL,F,BA,2000,1914073.0
TOTAL,F,BA,2001,1932756.0
TOTAL,F,BA,2002,1944715.0
TOTAL,F,BA,2003,1953478.0
TOTAL,F,BA,2004,1957082.0
TOTAL,F,BA,2005,1959692.0
TOTAL,F,BA,2006,1959752.0
TOTAL,F,BA,2007,1960449.0
TOTAL,F,BA,2008,1960361.0
TOTAL,F,BA,2009,1965986.0
TOTAL,F,BA,2010,1966011.0
TOTAL,F,BA,2011,1965701.0
TOTAL,F,BA,2012,1963655.0
TOTAL,F,BE,1960,4650891.0
TOTAL,F,BE,1961,4680332.0
TOTAL,F,BE,1962,4692881.0
TOTAL,F,BE,1963,4721909.0
TOTAL,F,BE,1964,4757001.0
TOTAL,F,BE,1965,4800240.0
TOTAL,F,BE,1966,4837409.0
TOTAL,F,BE,1967,4868944.0
TOTAL,F,BE,1968,4897385.0
TOTAL,F,BE,1969,4914120.0
TOTAL,F,BE,1970,4930511.0
TOTAL,F,BE,1971,4929078.0
TOTAL,F,BE,1972,4950716.0
TOTAL,F,BE,1973,4966920.0
TOTAL,F,BE,1974,4982187.0
TOTAL,F,BE,1975,4996106.0
TOTAL,F,BE,1976,5007918.0
TOTAL,F,BE,1977,5014837.0
TOTAL,F,BE,1978,5023356.0
TOTAL,F,BE,1979,5027912.0
TOTAL,F,BE,1980,5036166.0
TOTAL,F,BE,1981,5041979.0
TOTAL,F,BE,1982,5042116.0
TOTAL,F,BE,1983,5044878.0
TOTAL,F,BE,1984,5043503.0
TOTAL,F,BE,1985,5046163.0
TOTAL,F,BE,1986,5046712.0
TOTAL,F,BE,1987,5048517.0
TOTAL,F,BE,1988,5053913.0
TOTAL,F,BE,1989,5078668.0
TOTAL,F,BE,1990,5087683.0
TOTAL,F,BE,1991,5106290.0
TOTAL,F,BE,1992,5122765.0
TOTAL,F,BE,1993,5144847.0
TOTAL,F,BE,1994,5160407.0
TOTAL,F,BE,1995,5175903.0
TOTAL,F,BE,1996,5184262.0
TOTAL,F,BE,1997,5198446.0
TOTAL,F,BE,1998,5209592.0
TOTAL,F,BE,1999,5220034.0
TOTAL,F,BE,2000,5233071.0
TOTAL,F,BE,2001,5245395.0
TOTAL,F,BE,2002,5267437.0
TOTAL,F,BE,2003,5288959.0
TOTAL,F,BE,2004,5309245.0
TOTAL,F,BE,2005,5334527.0
TOTAL,F,BE,2006,5367561.0
TOTAL,F,BE,2007,5403126.0
TOTAL,F,BE,2008,5442557.0
TOTAL,F,BE,2009,5484429.0
TOTAL,F,BE,2010,5527684.0
TOTAL,F,BE,2011,5598920.0
TOTAL,F,BE,2012,5635601.0
TOTAL,F,BE,2013,5665118.0
TOTAL,F,BE,2014,5687048.0
TOTAL,F,BE,2015,5713206.0
TOTAL,F,BE,2016,5741853.0
TOTAL,F,BE,2017,5762455.0
TOTAL,F,BE,2018,5784371.0
TOTAL,F,BE,2019,5810693.0
TOTAL,F,BE,2020,5841215.0
TOTAL,F,BE,2021,5854293.0
TOTAL,F,BE,2022,5883978.0
TOTAL,F,BE,2023,5946649.0
TOTAL,F,BG,1960,3921043.0
TOTAL,F,BG,1961,3958593.0
TOTAL,F,BG,1962,3995543.0
TOTAL,F,BG,1963,4027480.0
TOTAL,F,BG,1964,4059726.0
TOTAL,F,BG,1965,4092536.0
TOTAL,F,BG,1966,4114958.0
TOTAL,F,BG,1967,4142041.0
TOTAL,F,BG,1968,4167280.0
TOTAL,F,BG,1969,4201969.0
TOTAL,F,BG,1970,4232840.0
TOTAL,F,BG,1971,4258313.0
TOTAL,F,BG,1972,4280930.0
TOTAL,F,BG,1973,4300053.0
TOTAL,F,BG,1974,4327798.0
TOTAL,F,BG,1975,4360061.0
TOTAL,F,BG,1976,4371919.0
TOTAL,F,BG,1977,4400441.0
TOTAL,F,BG,1978,4420915.0
TOTAL,F,BG,1979,4414767.0
TOTAL,F,BG,1980,4437268.0
TOTAL,F,BG,1981,4454938.0
TOTAL,F,BG,1982,4471841.0
TOTAL,F,BG,1983,4486480.0
TOTAL,F,BG,1984,4500629.0
TOTAL,F,BG,1985,4514813.0
TOTAL,F,BG,1986,4516402.0
TOTAL,F,BG,1987,4529072.0
TOTAL,F,BG,1988,4538312.0
TOTAL,F,BG,1989,4547303.0
TOTAL,F,BG,1990,4443535.0
TOTAL,F,BG,1991,4399271.0
TOTAL,F,BG,1992,4366016.0
TOTAL,F,BG,1993,4315730.0
TOTAL,F,BG,1994,4308125.0
TOTAL,F,BG,1995,4297452.0
TOTAL,F,BG,1996,4281347.0
TOTAL,F,BG,1997,4263435.0
TOTAL,F,BG,1998,4238235.0
TOTAL,F,BG,1999,4216300.0
TOTAL,F,BG,2000,4199715.0
TOTAL,F,BG,2001,4182045.0
TOTAL,F,BG,2002,4035676.0
TOTAL,F,BG,2003,4003292.0
TOTAL,F,BG,2004,3973019.0
TOTAL,F,BG,2005,3944453.0
TOTAL,F,BG,2006,3914757.0
TOTAL,F,BG,2007,3886094.0
TOTAL,F,BG,2008,3857635.0
TOTAL,F,BG,2009,3831264.0
TOTAL,F,BG,2010,3807808.0
TOTAL,F,BG,2011,3780505.0
TOTAL,F,BG,2012,3760457.0
TOTAL,F,BG,2013,3739479.0
TOTAL,F,BG,2014,3720732.0
TOTAL,F,BG,2015,3700183.0
TOTAL,F,BG,2016,3676607.0
TOTAL,F,BG,2017,3651881.0
TOTAL,F,BG,2018,3627625.0
TOTAL,F,BG,2019,3604338.0
TOTAL,F,BG,2020,3581836.0
TOTAL,F,BG,2021,3566833.0
TOTAL,F,BG,2022,3527626.0
TOTAL,F,BG,2023,3348207.0
TOTAL,F,BY,2000,5316268.0
TOTAL,F,BY,2001,5302718.0
TOTAL,F,BY,2002,5284465.0
TOTAL,F,BY,2003,5260849.0
TOTAL,F,BY,2004,5238879.0
TOTAL,F,BY,2005,5216991.0
TOTAL,F,BY,2006,5195244.0
TOTAL,F,BY,2007,5179429.0
TOTAL,F,BY,2008,5168358.0
TOTAL,F,BY,2009,5160289.0
TOTAL,F,BY,2010,5063266.0
TOTAL,F,BY,2011,5073034.0
TOTAL,F,BY,2012,5066857.0
TOTAL,F,BY,2013,5066314.0
TOTAL,F,BY,2014,5066943.0
TOTAL,F,BY,2015,5071671.0
TOTAL,F,BY,2016,5077522.0
TOTAL,F,BY,2017,5078185.0
TOTAL,F,BY,2018,5070289.0
TOTAL,F,BY,2019,5059429.0
TOTAL,F,CH,1960,2730400.0
TOTAL,F,CH,1961,2762955.0
TOTAL,F,CH,1962,2835874.0
TOTAL,F,CH,1963,2899101.0
TOTAL,F,CH,1964,2952274.0
TOTAL,F,CH,1965,2990789.0
TOTAL,F,CH,1966,3016742.0
TOTAL,F,CH,1967,3049556.0
TOTAL,F,CH,1968,3087845.0
TOTAL,F,CH,1969,3123083.0
TOTAL,F,CH,1970,3154705.0
TOTAL,F,CH,1971,3167724.0
TOTAL,F,CH,1972,3188388.0
TOTAL,F,CH,1973,3217328.0
TOTAL,F,CH,1974,3239574.0
TOTAL,F,CH,1975,3256587.0
TOTAL,F,CH,1976,3241162.0
TOTAL,F,CH,1977,3224164.0
TOTAL,F,CH,1978,3222954.0
TOTAL,F,CH,1979,3227625.0
TOTAL,F,CH,1980,3237338.0
TOTAL,F,CH,1981,3253278.0
TOTAL,F,CH,1982,3271087.0
TOTAL,F,CH,1983,3288680.0
TOTAL,F,CH,1984,3297473.0
TOTAL,F,CH,1985,3310638.0
TOTAL,F,CH,1986,3324453.0
TOTAL,F,CH,1987,3343502.0
TOTAL,F,CH,1988,3364945.0
TOTAL,F,CH,1989,3391052.0
TOTAL,F,CH,1990,3416313.0
TOTAL,F,CH,1991,3460226.0
TOTAL,F,CH,1992,3501103.0
TOTAL,F,CH,1993,3534043.0
TOTAL,F,CH,1994,3564707.0
TOTAL,F,CH,1995,3590651.0
TOTAL,F,CH,1996,3613512.0
TOTAL,F,CH,1997,3623725.0
TOTAL,F,CH,1998,3631222.0
TOTAL,F,CH,1999,3644848.0
TOTAL,F,CH,2000,3663736.0
TOTAL,F,CH,2001,3684357.0
TOTAL,F,CH,2002,3711304.0
TOTAL,F,CH,2003,3738824.0
TOTAL,F,CH,2004,3762609.0
TOTAL,F,CH,2005,3786406.0
TOTAL,F,CH,2006,3806626.0
TOTAL,F,CH,2007,3829380.0
TOTAL,F,CH,2008,3866480.0
TOTAL,F,CH,2009,3915181.0
TOTAL,F,CH,2010,3955240.0
TOTAL,F,CH,2011,3992708.0
TOTAL,F,CH,2012,4032409.0
TOTAL,F,CH,2013,4070536.0
TOTAL,F,CH,2014,4117540.0
TOTAL,F,CH,2015,4163786.0
TOTAL,F,CH,2016,4205655.0
TOTAL,F,CH,2017,4246113.0
TOTAL,F,CH,2018,4277696.0
TOTAL,F,CH,2019,4307406.0
TOTAL,F,CH,2020,4337170.0
TOTAL,F,CH,2021,4367701.0
TOTAL,F,CH,2022,4400588.0
TOTAL,F,CH,2023,4435432.0
TOTAL,F,CY,1961,291583.0
TOTAL,F,CY,1962,291900.0
TOTAL,F,CY,1963,293900.0
TOTAL,F,CY,1964,297300.0
TOTAL,F,CY,1965,298200.0
TOTAL,F,CY,1966,301100.0
TOTAL,F,CY,1967,303100.0
TOTAL,F,CY,1968,305900.0
TOTAL,F,CY,1969,307900.0
TOTAL,F,CY,1970,310000.0
TOTAL,F,CY,1971,312900.0
TOTAL,F,CY,1972,317100.0
TOTAL,F,CY,1973,319212.0
TOTAL,F,CY,1974,322300.0
TOTAL,F,CY,1975,254900.0
TOTAL,F,CY,1976,249168.0
TOTAL,F,CY,1977,248900.0
TOTAL,F,CY,1978,251200.0
TOTAL,F,CY,1979,253100.0
TOTAL,F,CY,1980,254900.0
TOTAL,F,CY,1981,258200.0
TOTAL,F,CY,1982,262907.0
TOTAL,F,CY,1983,263719.0
TOTAL,F,CY,1984,267102.0
TOTAL,F,CY,1985,270429.0
TOTAL,F,CY,1986,273296.0
TOTAL,F,CY,1987,276369.0
TOTAL,F,CY,1988,279097.0
TOTAL,F,CY,1989,282124.0
TOTAL,F,CY,1990,287064.0
TOTAL,F,CY,1991,294656.0
TOTAL,F,CY,1992,302814.0
TOTAL,F,CY,1993,310701.0
TOTAL,F,CY,1994,318440.0
TOTAL,F,CY,1995,325432.0
TOTAL,F,CY,1996,331524.0
TOTAL,F,CY,1997,337118.0
TOTAL,F,CY,1998,342190.0
TOTAL,F,CY,1999,346537.0
TOTAL,F,CY,2000,350842.0
TOTAL,F,CY,2001,354797.0
TOTAL,F,CY,2002,359361.0
TOTAL,F,CY,2003,363583.0
TOTAL,F,CY,2004,368331.0
TOTAL,F,CY,2005,373746.0
TOTAL,F,CY,2006,379431.0
TOTAL,F,CY,2007,386402.0
TOTAL,F,CY,2008,395875.0
TOTAL,F,CY,2009,407004.0
TOTAL,F,CY,2010,419535.0
TOTAL,F,CY,2011,430993.0
TOTAL,F,CY,2012,443018.0
TOTAL,F,CY,2013,444842.0
TOTAL,F,CY,2014,440462.0
TOTAL,F,CY,2015,435183.0
TOTAL,F,CY,2016,435627.0
TOTAL,F,CY,2017,438139.0
TOTAL,F,CY,2018,442728.0
TOTAL,F,CY,2019,448068.0
TOTAL,F,CY,2020,453534.0
TOTAL,F,CY,2021,458357.0
TOTAL,F,CY,2022,463622.0
TOTAL,F,CY,2023,471475.0
TOTAL,F,CZ,1960,4941152.0
TOTAL,F,CZ,1961,4928244.0
TOTAL,F,CZ,1962,4948987.0
TOTAL,F,CZ,1963,4966815.0
TOTAL,F,CZ,1964,4995380.0
TOTAL,F,CZ,1965,5023767.0
TOTAL,F,CZ,1966,5046795.0
TOTAL,F,CZ,1967,5066048.0
TOTAL,F,CZ,1968,5079721.0
TOTAL,F,CZ,1969,5090506.0
TOTAL,F,CZ,1970,5101807.0
TOTAL,F,CZ,1971,5059168.0
TOTAL,F,CZ,1972,5077341.0
TOTAL,F,CZ,1973,5101215.0
TOTAL,F,CZ,1974,5131518.0
TOTAL,F,CZ,1975,5166285.0
TOTAL,F,CZ,1976,5201299.0
TOTAL,F,CZ,1977,5233740.0
TOTAL,F,CZ,1978,5262227.0
TOTAL,F,CZ,1979,5288558.0
TOTAL,F,CZ,1980,5310984.0
TOTAL,F,CZ,1981,5303918.0
TOTAL,F,CZ,1982,5310895.0
TOTAL,F,CZ,1983,5316340.0
TOTAL,F,CZ,1984,5317388.0
TOTAL,F,CZ,1985,5319646.0
TOTAL,F,CZ,1986,5321474.0
TOTAL,F,CZ,1987,5321505.0
TOTAL,F,CZ,1988,5323143.0
TOTAL,F,CZ,1989,5326892.0
TOTAL,F,CZ,1990,5326444.0
TOTAL,F,CZ,1991,5303641.0
TOTAL,F,CZ,1992,5306546.0
TOTAL,F,CZ,1993,5312284.0
TOTAL,F,CZ,1994,5314716.0
TOTAL,F,CZ,1995,5312697.0
TOTAL,F,CZ,1996,5304829.0
TOTAL,F,CZ,1997,5297052.0
TOTAL,F,CZ,1998,5290395.0
TOTAL,F,CZ,1999,5284186.0
TOTAL,F,CZ,2000,5277036.0
TOTAL,F,CZ,2001,5249667.0
TOTAL,F,CZ,2002,5235670.0
TOTAL,F,CZ,2003,5230950.0
TOTAL,F,CZ,2004,5228205.0
TOTAL,F,CZ,2005,5228199.0
TOTAL,F,CZ,2006,5233925.0
TOTAL,F,CZ,2007,5243638.0
TOTAL,F,CZ,2008,5278305.0
TOTAL,F,CZ,2009,5309105.0
TOTAL,F,CZ,2010,5325922.0
TOTAL,F,CZ,2011,5339500.0
TOTAL,F,CZ,2012,5347235.0
TOTAL,F,CZ,2013,5351776.0
TOTAL,F,CZ,2014,5350039.0
TOTAL,F,CZ,2015,5361348.0
TOTAL,F,CZ,2016,5367513.0
TOTAL,F,CZ,2017,5378133.0
TOTAL,F,CZ,2018,5390264.0
TOTAL,F,CZ,2019,5405606.0
TOTAL,F,CZ,2020,5421943.0
TOTAL,F,CZ,2021,5323934.0
TOTAL,F,CZ,2022,5332932.0
TOTAL,F,CZ,2023,5519006.0
TOTAL,F,DE,1960,29345361.0
TOTAL,F,DE,1961,29630616.0
TOTAL,F,DE,1962,29951354.0
TOTAL,F,DE,1963,30219000.0
TOTAL,F,DE,1964,30512921.0
TOTAL,F,DE,1965,30822719.0
TOTAL,F,DE,1966,31125574.0
TOTAL,F,DE,1967,31393339.0
TOTAL,F,DE,1968,31529981.0
TOTAL,F,DE,1969,31746795.0
TOTAL,F,DE,1970,32014629.0
TOTAL,F,DE,1971,31929543.0
TOTAL,F,DE,1972,32135076.0
TOTAL,F,DE,1973,32276124.0
TOTAL,F,DE,1974,32387627.0
TOTAL,F,DE,1975,32387025.0
TOTAL,F,DE,1976,32263124.0
TOTAL,F,DE,1977,32179200.0
TOTAL,F,DE,1978,32136229.0
TOTAL,F,DE,1979,32107392.0
TOTAL,F,DE,1980,32122268.0
TOTAL,F,DE,1981,32176912.0
TOTAL,F,DE,1982,32189833.0
TOTAL,F,DE,1983,32118246.0
TOTAL,F,DE,1984,32000881.0
TOTAL,F,DE,1985,31869535.0
TOTAL,F,DE,1986,31830458.0
TOTAL,F,DE,1987,31855080.0
TOTAL,F,DE,1988,31818689.0
TOTAL,F,DE,1989,32021988.0
TOTAL,F,DE,1990,32442597.0
TOTAL,F,DE,1991,41253250.0
TOTAL,F,DE,1992,41435461.0
TOTAL,F,DE,1993,41674551.0
TOTAL,F,DE,1994,41819609.0
TOTAL,F,DE,1995,41893638.0
TOTAL,F,DE,1996,41992676.0
TOTAL,F,DE,1997,42057327.0
TOTAL,F,DE,1998,42065068.0
TOTAL,F,DE,1999,42032869.0
TOTAL,F,DE,2000,42072699.0
TOTAL,F,DE,2001,42103004.0
TOTAL,F,DE,2002,42165633.0
TOTAL,F,DE,2003,42191801.0
TOTAL,F,DE,2004,42175657.0
TOTAL,F,DE,2005,42147222.0
TOTAL,F,DE,2006,42098034.0
TOTAL,F,DE,2007,42013740.0
TOTAL,F,DE,2008,41943545.0
TOTAL,F,DE,2009,41818073.0
TOTAL,F,DE,2010,41698651.0
TOTAL,F,DE,2011,41097465.0
TOTAL,F,DE,2012,41097953.0
TOTAL,F,DE,2013,41142770.0
TOTAL,F,DE,2014,41210540.0
TOTAL,F,DE,2015,41362080.0
TOTAL,F,DE,2016,41661561.0
TOTAL,F,DE,2017,41824535.0
TOTAL,F,DE,2018,41948786.0
TOTAL,F,DE,2019,42052522.0
TOTAL,F,DE,2020,42129098.0
TOTAL,F,DE,2021,42128512.0
TOTAL,F,DE,2022,42170339.0
TOTAL,F,DE,2023,42799793.0
TOTAL,F,DK,1960,2300897.0
TOTAL,F,DK,1961,2315982.0
TOTAL,F,DK,1962,2333676.0
TOTAL,F,DK,1963,2352150.0
TOTAL,F,DK,1964,2371255.0
TOTAL,F,DK,1965,2390631.0
TOTAL,F,DK,1966,2409799.0
TOTAL,F,DK,1967,2430202.0
TOTAL,F,DK,1968,2448014.0
TOTAL,F,DK,1969,2460720.0
TOTAL,F,DK,1970,2474425.0
TOTAL,F,DK,1971,2490784.0
TOTAL,F,DK,1972,2505460.0
TOTAL,F,DK,1973,2522727.0
TOTAL,F,DK,1974,2538020.0
TOTAL,F,DK,1975,2550193.0
TOTAL,F,DK,1976,2558469.0
TOTAL,F,DK,1977,2567052.0
TOTAL,F,DK,1978,2577115.0
TOTAL,F,DK,1979,2585949.0
TOTAL,F,DK,1980,2593012.0
TOTAL,F,DK,1981,2595764.0
TOTAL,F,DK,1982,2595330.0
TOTAL,F,DK,1983,2595244.0
TOTAL,F,DK,1984,2594188.0
TOTAL,F,DK,1985,2594036.0
TOTAL,F,DK,1986,2595710.0
TOTAL,F,DK,1987,2598774.0
TOTAL,F,DK,1988,2601258.0
TOTAL,F,DK,1989,2601613.0
TOTAL,F,DK,1990,2604812.0
TOTAL,F,DK,1991,2610078.0
TOTAL,F,DK,1992,2617672.0
TOTAL,F,DK,1993,2626020.0
TOTAL,F,DK,1994,2633200.0
TOTAL,F,DK,1995,2642394.0
TOTAL,F,DK,1996,2658805.0
TOTAL,F,DK,1997,2670184.0
TOTAL,F,DK,1998,2679191.0
TOTAL,F,DK,1999,2688156.0
TOTAL,F,DK,2000,2695898.0
TOTAL,F,DK,2001,2704893.0
TOTAL,F,DK,2002,2714208.0
TOTAL,F,DK,2003,2721084.0
TOTAL,F,DK,2004,2727505.0
TOTAL,F,DK,2005,2734113.0
TOTAL,F,DK,2006,2741613.0
TOTAL,F,DK,2007,2750422.0
TOTAL,F,DK,2008,2763125.0
TOTAL,F,DK,2009,2779431.0
TOTAL,F,DK,2010,2791452.0
TOTAL,F,DK,2011,2804046.0
TOTAL,F,DK,2012,2813740.0
TOTAL,F,DK,2013,2823776.0
TOTAL,F,DK,2014,2834956.0
TOTAL,F,DK,2015,2848701.0
TOTAL,F,DK,2016,2869364.0
TOTAL,F,DK,2017,2888591.0
TOTAL,F,DK,2018,2904717.0
TOTAL,F,DK,2019,2917008.0
TOTAL,F,DK,2020,2925845.0
TOTAL,F,DK,2021,2935188.0
TOTAL,F,DK,2022,2950505.0
TOTAL,F,DK,2023,2983655.0
TOTAL,F,EE,1960,674328.0
TOTAL,F,EE,1961,677929.0
TOTAL,F,EE,1962,685707.0
TOTAL,F,EE,1963,692418.0
TOTAL,F,EE,1964,700330.0
TOTAL,F,EE,1965,708120.0
TOTAL,F,EE,1966,714321.0
TOTAL,F,EE,1967,718459.0
TOTAL,F,EE,1968,722117.0
TOTAL,F,EE,1969,727568.0
TOTAL,F,EE,1970,733185.0
TOTAL,F,EE,1971,741791.0
TOTAL,F,EE,1972,749613.0
TOTAL,F,EE,1973,756198.0
TOTAL,F,EE,1974,761913.0
TOTAL,F,EE,1975,767451.0
TOTAL,F,EE,1976,772075.0
TOTAL,F,EE,1977,776846.0
TOTAL,F,EE,1978,782521.0
TOTAL,F,EE,1979,787202.0
TOTAL,F,EE,1980,790617.0
TOTAL,F,EE,1981,795741.0
TOTAL,F,EE,1982,800677.0
TOTAL,F,EE,1983,805761.0
TOTAL,F,EE,1984,810533.0
TOTAL,F,EE,1985,815398.0
TOTAL,F,EE,1986,820097.0
TOTAL,F,EE,1987,825726.0
TOTAL,F,EE,1988,830954.0
TOTAL,F,EE,1989,834270.0
TOTAL,F,EE,1990,836061.0
TOTAL,F,EE,1991,834200.0
TOTAL,F,EE,1992,828123.0
TOTAL,F,EE,1993,807998.0
TOTAL,F,EE,1994,790952.0
TOTAL,F,EE,1995,776811.0
TOTAL,F,EE,1996,765837.0
TOTAL,F,EE,1997,756506.0
TOTAL,F,EE,1998,750075.0
TOTAL,F,EE,1999,742978.0
TOTAL,F,EE,2000,748170.0
TOTAL,F,EE,2001,743650.0
TOTAL,F,EE,2002,739210.0
TOTAL,F,EE,2003,735200.0
TOTAL,F,EE,2004,730800.0
TOTAL,F,EE,2005,727140.0
TOTAL,F,EE,2006,722770.0
TOTAL,F,EE,2007,718660.0
TOTAL,F,EE,2008,716390.0
TOTAL,F,EE,2009,714420.0
TOTAL,F,EE,2010,712490.0
TOTAL,F,EE,2011,709960.0
TOTAL,F,EE,2012,707079.0
TOTAL,F,EE,2013,704007.0
TOTAL,F,EE,2014,700900.0
TOTAL,F,EE,2015,700166.0
TOTAL,F,EE,2016,699236.0
TOTAL,F,EE,2017,698097.0
